Author,author_id
Jihad El,758
H.M. Nahmad,759
Robert Hillyer,760
Jack Kerouac,761
Ann Charters,762
Mark Stevens,763
Annalyn Swan,764
Julie Sylvester,765
David Sylvester,766
David  Allen,767
Tina Blythe,768
Gene Thompson-Grove,769
Sun Tzu,770
Mark McNeilly,771
Al Ries,772
Jack Trout,773
Seth Godin,774
Clayton M. Christensen,775
L.J. Ganser,776
David Trotter,777
Charlotte Mitchell,778
Edgar Rosenberg,779
Erasmus,780
Martin Luther,781
Philip S. Watson,782
E. Gordon Rupp,783
Harper Lee,784
Sissy Spacek,785
David H. Chilton,786
Jonathan Swift,787
Jesse Gale,788
Xavier de C.,789
Joseph Rowe,790
R.D. Gooder,791
Myra Jehlen,792
Leo Bersani,793
John Hollander,794
David Bromwich,795
Geoffrey Chaucer,796
Nevill Coghill,797
David  Wright,798
Jill Mann,799
Vincent Foster Hopper,800
Helen  Cooper,801
Brian Stone,802
Larry Dean Benson,803
F.N. Robinson,804
Theodore Morrison,805
Mark Kurlansky,806
Deloris Jordan,807
Kadir Nelson,808
Roslyn M. Jordan,809
Monique Truong,810
Abdul Rahman Munif,811
Peter Theroux,812
Kim Stanley Robinson,813
Walter Benjamin,814
Hannah Arendt,815
Harry Zohn,816
Leon Wieseltier,817
Saul Steinberg,818
Joel Smith,819
Charles Simic,820
Philip Dutre,821
David Guterson,822
Dave Pelzer,823
William S. Pollack,824
Mary Pipher,825
Douglas Coupland,826
Jean Aitchison,827
Diana M. Lewis,828
Ernest Becker,829
Sam Keen,830
Daniel Goleman,831
Howard Zinn,832
Kathy Emery,833
Ellen Gordon Reeves,834
Richard Hollis,835
Lisa Lowe,836
Jonathan Hale,837
David Bodanis,838
Rolland Hein,839
Clyde S. Kilby,840
Giotto di Bondone,841
Mary Chambers,842
Friedrich Nietzsche,843
Raymond Geuss,844
Ronald Speirs,845
Francis Golffing,846
Michael Tanner,847
Shaun Whiteside,848
Alastair Lamb,849
David Lionel Smith,850
Sherley Anne Williams,851
Michael Prichard,852
Katherine Paterson,853
Donna Diamond,854
Emil M. Cioran,855
Richard Howard,856
Tanya Huff,857
Tracy Chevalier,858
Rosalind Laker,859
Tom Hunter,860
Colin Wiggins,861
Tite Kubo,862
Tsugumi Ohba,863
Takeshi Obata,864
大場 つぐみ,865
小畑 健,866
Valerie Parv,867
John E. Woods,868
Jean-Jacques Sempé,869
Steve Chorney,870
Mike  Rowe,871
Ronald Radano,872
Daniel Defoe,873
Virginia Woolf,874
John J. Richetti,875
Michael Shinagel,876
Manuel Schonhorn,877
Charles   Johnson,878
Paul Baender,879
Dahlia Armon,880
Walter Blair,881
Lee Nelson,882
Guy Cardwell,883
Louis J. Budd,884
John Seelye,885
Walter Trier,886
E.W. Kemble,887
George Saunders,888
Michael Patrick Hearn,889
Lin Salamo,890
Victor Fischer,891
Michael B. Frank,892
Charles Neider,893
James Hilton,894
C. Michael Dudash,895
Stephen W. Hines,896
Nancy Friday,897
Frances Hodgson Burnett,898
Sandra M. Gilbert,899
Martha Hailey DuBose,900
Lucy Corvino,901
